iter	Passed	Remaining
0	134	133989
1	134	67276
2	135	45012
3	136	33875
4	136	27222
5	137	22834
6	138	19660
7	139	17280
8	140	15440
9	140	13950
10	141	12730
11	142	11708
12	142	10841
13	143	10104
14	144	9458
15	144	8892
16	145	8393
17	145	7951
18	146	7572
19	147	7224
20	148	6916
21	148	6621
22	149	6351
23	150	6106
24	150	5879
25	151	5671
26	151	5477
27	152	5298
28	153	5132
29	153	4973
30	154	4827
31	155	4688
32	155	4560
33	156	4441
34	157	4335
35	157	4228
36	158	4129
37	159	4036
38	160	3946
39	161	3877
40	162	3805
41	163	3724
42	163	3647
43	164	3573
44	165	3502
45	165	3436
46	166	3371
47	167	3314
48	168	3260
49	168	3204
50	169	3150
51	169	3097
52	170	3048
53	171	3003
54	172	2956
55	172	2911
56	173	2867
57	173	2824
58	174	2784
59	175	2744
60	175	2706
61	176	2673
62	177	2640
63	178	2610
64	179	2580
65	180	2549
66	181	2522
67	181	2492
68	182	2462
69	183	2433
70	183	2404
71	184	2377
72	185	2350
73	185	2323
74	186	2297
75	187	2275
76	187	2252
77	188	2230
78	189	2208
79	190	2187
80	190	2166
81	191	2146
82	192	2122
83	192	2103
84	193	2083
85	194	2063
86	194	2045
87	195	2026
88	196	2007
89	197	1996
90	198	1980
91	199	1964
92	199	1947
93	200	1932
94	201	1918
95	202	1902
96	202	1886
97	203	1870
98	203	1854
99	204	1839
100	204	1823
101	205	1808
102	205	1793
103	206	1780
104	207	1766
105	208	1754
106	208	1744
107	209	1733
108	210	1721
109	211	1709
110	211	1697
111	212	1684
112	213	1672
113	213	1660
114	214	1649
115	214	1637
116	215	1625
117	215	1613
118	216	1603
119	217	1593
120	217	1582
121	218	1573
122	219	1564
123	220	1555
124	221	1547
125	221	1538
126	222	1528
127	222	1518
128	223	1509
129	224	1500
130	224	1491
131	225	1482
132	226	1473
133	226	1465
134	227	1457
135	228	1448
136	228	1440
137	229	1432
138	229	1424
139	230	1416
140	231	1409
141	231	1400
142	232	1392
143	233	1385
144	233	1378
145	234	1371
146	235	1363
147	235	1356
148	236	1349
149	237	1344
150	238	1340
151	239	1334
152	239	1328
153	240	1321
154	241	1314
155	241	1308
156	242	1301
157	242	1294
158	243	1287
159	244	1281
160	244	1273
